### Fill Cross Sections for proton off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
-------------------------------------------------------------
    0      0.1012    0.000146   6.278e-07    0.0001466
    1      0.1035    0.000151   6.766e-07    0.0001516
    2      0.1059    0.000156   7.291e-07    0.0001567
    3      0.1084    0.000161   7.857e-07    0.0001617
    4      0.1109    0.000166   8.468e-07    0.0001668
    5      0.1135    0.000171   9.125e-07    0.0001719
    6      0.1161   0.0001769   9.834e-07    0.0001779
    7      0.1189   0.0001842    1.06e-06    0.0001853
    8      0.1216   0.0001915   1.142e-06    0.0001927
    9      0.1245   0.0001988   1.231e-06    0.0002001
   10      0.1274   0.0002061   1.326e-06    0.0002075
   11      0.1303   0.0002134   1.429e-06    0.0002149
   12      0.1334   0.0002207    1.54e-06    0.0002223
   13      0.1365    0.000228    1.66e-06    0.0002297
   14      0.1396   0.0002353   1.789e-06    0.0002371
   15      0.1429   0.0002426   1.928e-06    0.0002445
   16      0.1462   0.0002499   2.078e-06     0.000252
   17      0.1496   0.0002588   2.239e-06    0.0002611
   18      0.1531   0.0002695   2.413e-06    0.0002719
   19      0.1567   0.0002801     2.6e-06    0.0002827
   20      0.1603   0.0002908   2.802e-06    0.0002936
   21      0.1641   0.0003014    3.02e-06    0.0003044
   22      0.1679   0.0003121   3.255e-06    0.0003153
   23      0.1718   0.0003227   3.507e-06    0.0003262
   24      0.1758   0.0003334    3.78e-06    0.0003371
   25      0.1799    0.000344   4.073e-06    0.0003481
   26      0.1841   0.0003547    4.39e-06    0.0003591
   27      0.1884   0.0003653   4.731e-06      0.00037
   28      0.1928   0.0003786   5.098e-06    0.0003837
   29      0.1972   0.0003941   5.494e-06    0.0003996
   30      0.2018   0.0004097   5.921e-06    0.0004156
   31      0.2065   0.0004252   6.381e-06    0.0004316
   32      0.2113   0.0004408   6.876e-06    0.0004476
   33      0.2163   0.0004563    7.41e-06    0.0004637
   34      0.2213   0.0004718   7.986e-06    0.0004798
   35      0.2265   0.0004874   8.606e-06     0.000496
   36      0.2317   0.0005029   9.274e-06    0.0005122
   37      0.2371   0.0005185   9.995e-06    0.0005285
   38      0.2427    0.000534   1.077e-05    0.0005448
   39      0.2483   0.0005538   1.161e-05    0.0005654
   40      0.2541   0.0005765   1.251e-05     0.000589
   41        0.26   0.0005992   1.348e-05    0.0006127
   42      0.2661   0.0006219   1.453e-05    0.0006364
   43      0.2723   0.0006445   1.566e-05    0.0006602
   44      0.2786   0.0006672   1.687e-05    0.0006841
   45      0.2851   0.0006899   1.818e-05    0.0007081
   46      0.2917   0.0007126   1.959e-05    0.0007322
   47      0.2985   0.0007352   2.112e-05    0.0007564
   48      0.3055   0.0007579   2.276e-05    0.0007807
   49      0.3126   0.0007806   2.452e-05    0.0008051
   50      0.3199   0.0008101   2.643e-05    0.0008366
   51      0.3273   0.0008432   2.848e-05    0.0008717
   52       0.335   0.0008763   3.069e-05     0.000907
   53      0.3428   0.0009095   3.308e-05    0.0009425
   54      0.3508   0.0009426   3.565e-05    0.0009782
   55      0.3589   0.0009757   3.841e-05     0.001014
   56      0.3673    0.001009    4.14e-05      0.00105
   57      0.3758    0.001042   4.461e-05     0.001086
   58      0.3846    0.001075   4.808e-05     0.001123
   59      0.3936    0.001108   5.181e-05      0.00116
   60      0.4027    0.001141   5.583e-05     0.001197
   61      0.4121    0.001185   6.017e-05     0.001245
   62      0.4217    0.001234   6.484e-05     0.001298
   63      0.4315    0.001282   6.988e-05     0.001352
   64      0.4416     0.00133   7.531e-05     0.001406
   65      0.4519    0.001379   8.115e-05      0.00146
   66      0.4624    0.001427   8.746e-05     0.001515
   67      0.4732    0.001475   9.425e-05      0.00157
   68      0.4842    0.001524   0.0001016     0.001625
   69      0.4955    0.001572   0.0001095     0.001682
   70       0.507    0.001621    0.000118     0.001739
   71      0.5188    0.001669   0.0001271     0.001796
   72      0.5309    0.001735    0.000137     0.001872
   73      0.5433    0.001806   0.0001476     0.001954
   74      0.5559    0.001877   0.0001591     0.002036
   75      0.5689    0.001949   0.0001714      0.00212
   76      0.5821     0.00202   0.0001848     0.002204
   77      0.5957    0.002091   0.0001991      0.00229
   78      0.6095    0.002162   0.0002146     0.002377
   79      0.6237    0.002233   0.0002312     0.002464
   80      0.6383    0.002304   0.0002492     0.002554
   81      0.6531    0.002376   0.0002685     0.002644
   82      0.6683    0.002447   0.0002894     0.002736
   83      0.6839     0.00255   0.0003118     0.002862
   84      0.6998    0.002659    0.000336     0.002995
   85      0.7161    0.002768   0.0003621      0.00313
   86      0.7328    0.002878   0.0003902     0.003268
   87      0.7499    0.002987   0.0004205     0.003407
   88      0.7674    0.003096   0.0004532     0.003549
   89      0.7852    0.003205   0.0004884     0.003694
   90      0.8035    0.003314   0.0005263     0.003841
   91      0.8222    0.003424   0.0005671     0.003991
   92      0.8414    0.003533   0.0006111     0.004144
   93       0.861    0.003642   0.0006586     0.004301
   94       0.881    0.003841   0.0007097     0.004551
   95      0.9016     0.00405   0.0007647     0.004815
   96      0.9226    0.004259   0.0008241     0.005083
   97      0.9441    0.004468    0.000888     0.005356
   98      0.9661    0.004677   0.0009569     0.005634
   99      0.9886    0.004886    0.001031     0.005917
  100       1.012    0.005095    0.001111     0.006206
  101       1.035    0.005304    0.001197     0.006501
  102       1.059    0.005513     0.00129     0.006803
  103       1.084    0.005722     0.00139     0.007112
  104       1.109    0.005931    0.001498     0.007429
  105       1.135    0.006672    0.001614     0.008286
  106       1.161    0.007435    0.001739     0.009175
  107       1.189    0.008198    0.001874      0.01007
  108       1.216    0.008961    0.002019      0.01098
  109       1.245    0.009724    0.002176       0.0119
  110       1.274     0.01049    0.002344      0.01283
